,Unnamed: 0,Unnamed: 0.1,Message,Category
0,0,0.0,"Hitachi has completed the merger of its joint venture power business unit with ABB Power Grids, known as Power India, a statement said on Wednesday",Event
1,1,1.0,Finland-based equipment maker Metso Corp.s board of directors and Finland-based Outotec Oyj have announced that the combination of Metsos Minerals business and Outotec is completed,Event
2,2,2.0,"Nearly three years after announcing plans to merge, Troy Bank and Trust Company and First National Bank of Brundidge have officially completed the process",Event
3,3,3.0,Leading flat knitting machine builder Stoll officially joined the Karl Mayer Group today,Event
4,4,4.0,"ChoiceOne Financial Services, Inc. (NASDAQ: COFS) (ChoiceOne) today announced the completion of the merger of Community Shores Bank Corporation (Community Shores) with and into ChoiceOne, effective as of July 1, 2020",Event
5,5,5.0,"The long-awaited merger between Atlantas Troutman Sanders and Philadelphias Pepper Hamilton finally went live Wednesday, after a delayed start date and pay cuts in response to the coronavirus pandemic",Event
6,6,6.0,"Abu Dhabi National Energy Company (Taqa) and Abu Dhabi Power Corporation (ADPower) on Wednesday announced completion of their merger, creating one of the largest utility firms in the region with combined assets estimated at Dh200 billion",Event
7,7,7.0,"Argonaut Gold (TSX: AR) and Alio Gold (TSX: ALO) have completed their previously announced business combination to create a diversified precious metals producer with output of over 235,000 gold-equivalent ounces annually",Event
8,8,8.0,"First National Bank Ghana has confirmed the conclusion of the merger with its subsidiary, GHL Bank.",Event
9,9,9.0,"The merger between the Murfreesboro Electric Department and Middle Tennessee Electric became official and finalized Wednesday, July 1",Event
10,10,10.0,MMIT has agreed to merge with EVALUATE,Event
11,11,11.0,"SK materials announced in its disclosure on Aug 20 that it would be absorbed into SK Inc. (SK), the investment and holding company of SK Group",Event
12,12,12.0,Virgin Orbit rockets to $3.2B valuation in SPAC merger,Event
13,13,13.0,"Sumitomo Dainippon Pharma Oncology, Inc. was formed today through the merger of Tolero Pharmaceuticals, Inc., and Boston Biomedical, Inc.",Event
14,14,14.0,"Argonaut Gold Inc. (Argonaut or Argonaut Gold) (TSX: AR) and Alio Gold Inc. (Alio or Alio Gold) (TSX, NYSE-A: ALO) have completed the business combination to create a North American, diversified precious metals producing company with a strong portfolio of growth assets.",Event
15,15,15.0,NCLT sanctions merger of Sun Pharma Global FZE with Sun Pharmaceutical Industries,Event
